GEOID_TXT,"Percent of adults with a bachelor's degree or higher, 2017-21"
'01001',28.131469
'01003',32.450286
'01005',11.153098
'01007',11.913807
'01009',14.90361
'01011',11.691144
'01013',14.039151
'01015',19.528301
'01017',13.653939
'01019',12.822738
'01021',13.535731
'01023',11.7121
'01025',13.885303
'01027',13.381483
'01029',16.384127
'01031',22.68064
'01033',17.858381
'01035',12.452395
'01037',11.206369
'01039',15.805609
'01041',16.420644
'01043',16.477057
'01045',18.681188
'01047',16.113834
'01049',14.432755
'01051',24.564368
'01053',12.548608
'01055',18.009041
'01057',11.836841
'01059',14.273012
'01061',13.489954
'01063',12.703289
'01065',15.787909
'01067',21.57843
'01069',22.227056
'01071',16.102257
'01073',34.656326
'01075',9.951749
'01077',25.481785
'01079',15.291647
'01081',38.620997
'01083',28.385362
'01085',15.102496
'01087',21.237738
'01089',44.286699
'01091',19.702545
'01093',12.611283
'01095',21.390407
'01097',23.923576
'01099',12.886709
'01101',33.357812
'01103',22.757408
'01105',18.902878
'01107',13.299857
'01109',27.754008
'01111',16.224285
'01113',17.265502
'01115',18.491661
'01117',44.791887
'01119',19.466045
'01121',15.930129
'01123',18.065173
'01125',30.644381
'01127',14.088885
'01129',13.562921
'01131',10.972882
'01133',13.457922
'02013',15.935335
'02016',16.805628
'02020',36.772161
'02050',12.72818
'02060',22.083981
'02068',39.432367
'02070',19.562955
'02090',32.564433
'02100',25.646401
'02105',22.3449
'02110',40.062207
'02122',27.365667
'02130',26.385063
'02150',29.179297
'02158',2.920245
'02170',23.714826
'02180',18.374244
'02185',15.598687
'02188',14.428904
'02195',28.408195
'02198',19.199425
'02220',33.245729
'02230',25.047081
'02240',19.346902
'02275',15.163148
'02282',10.309278
'02290',12.906007
'04001',12.827534
'04003',25.812318
'04005',38.739878
'04007',18.787539
'04009',14.676038
'04011',16.001388
'04012',11.819147
'04013',34.356415
'04015',14.627001
'04017',16.664753
'04019',34.374535
'04021',20.892033
'04023',23.036132
'04025',27.774184
'04027',15.689216
'05001',16.574908
'05003',12.019984
'05005',18.605532
'05007',34.564195
'05009',17.76351
'05011',12.522411
'05013',12.245492
'05015',22.020972
'05017',14.759629
'05019',27.893693
'05021',13.994395
'05023',16.981744
'05025',16.70584
'05027',20.155149
'05029',18.677422
'05031',28.946212
'05033',19.070462
'05035',17.469626
'05037',14.054652
'05039',11.502146
'05041',13.677536
'05043',23.742167
'05045',32.896974
'05047',10.599
'05049',11.396635
'05051',23.766568
'05053',17.962402
'05055',16.281113
'05057',16.003261
'05059',16.439285
'05061',14.260809
'05063',16.452705
'05065',17.020448
'05067',12.672061
'05069',19.456594
'05071',16.020763
'05073',10.731494
'05075',14.870532
'05077',9.763124
'05079',8.732651
'05081',14.872285
'05083',12.635762
'05085',20.332548
'05087',13.539854
'05089',15.100383
'05091',16.943351
'05093',14.244088
'05095',13.474594
'05097',15.34029
'05099',11.128581
'05101',16.407858
'05103',13.286364
'05105',17.503526
'05107',14.34949
'05109',19.479429
'05111',11.511886
'05113',15.521423
'05115',23.240229
'05117',15.286307
'05119',36.343765
'05121',16.066482
'05123',11.405454
'05125',27.913966
'05127',10.937726
'05129',15.32328
'05131',23.995378
'05133',11.623745
'05135',11.133344
'05137',14.378653
'05139',18.396508
'05141',16.269165
'05143',33.747099
'05145',20.294018
'05147',16.10378
'05149',14.045307
'06001',49.643049
'06003',39.318885
'06005',19.51773
'06007',29.760071
'06009',19.910732
'06011',14.653565
'06013',44.056173
'06015',16.119373
'06017',36.834141
'06019',22.63294
'06021',14.895594
'06023',31.19224
'06025',15.197657
'06027',27.273389
'06029',17.607466
'06031',14.320118
'06033',17.517606
'06035',11.770752
'06037',34.044369
'06039',16.37771
'06041',60.148936
'06043',28.868497
'06045',24.500008
'06047',14.057089
'06049',19.698355
'06051',29.525113
'06053',26.490069
'06055',37.002385
'06057',38.675235
'06059',42.115793
'06061',41.600644
'06063',23.0212
'06065',23.533346
'06067',31.996977
'06069',20.532485
'06071',21.913221
'06073',40.26325
'06075',59.516756
'06077',19.468543
'06079',36.737546
'06081',52.455561
'06083',35.13603
'06085',54.391969
'06087',41.891269
'06089',22.580846
'06091',22.323364
'06093',21.515688
'06095',27.837572
'06097',37.12915
'06099',17.934736
'06101',19.994759
'06103',16.988907
'06105',18.602417
'06107',15.20191
'06109',24.58555
'06111',34.032029
'06113',43.072959
'06115',17.749523
'08001',26.42874
'08003',25.636845
'08005',44.491172
'08007',39.931339
'08009',23.772102
'08011',14.216443
'08013',62.862416
'08015',39.399686
'08017',22.212544
'08019',53.569072
'08021',24.472997
'08023',24.356512
'08025',9.239905
'08027',38.662316
'08029',22.910581
'08031',52.525068
'08033',26.466089
'08035',59.244346
'08037',50.918965
'08039',35.296021
'08041',39.506194
'08043',18.606674
'08045',32.931089
'08047',48.823781
'08049',37.703261
'08051',56.729537
'08053',46.774194
'08055',25.327596
'08057',27.247451
'08059',47.905702
'08061',20.300752
'08063',18.195112
'08065',35.979132
'08067',46.965343
'08069',49.38108
'08071',18.742374
'08073',16.710245
'08075',20.270003
'08077',29.303032
'08079',56.268657
