'CONUM',V33,TOTALREV,TFEDREV,C14,C15,C19,C22,C23,C26,C27,B11,C20,C25,C36,B10,B12,B14,B13,TSTREV,C01,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C24,C35,C38,C39,TLOCREV,T02,T06,T09,T15,T40,T99,D11,D23,A07,A08,A09,A11,A13,A15,A20,A40,U11,U22,U30,U50,U97,TOTALEXP,TCURELSC,TCURINST,E13,J13,J12,J14,V91,V92,TCURSSVC,E17,E07,E08,E09,V40,V45,V90,V85,J17,J07,J08,J09,J40,J45,J90,J11,J96,TCUROTH,E11,V60,V65,J10,J97,NONELSEC,V70,V75,V80,J98,TCAPOUT,F12,G15,K09,K10,K11,J99,L12,M12,Q11,I86,Z32,Z33,V11,V13,V15,V17,V21,V23,V37,V29,Z34,V10,V12,V14,V16,V18,V22,V24,V38,V30,V32,_19H,_21F,_31F,_41F,_61V,_66V,W01,W31,W61,AR1,AR2,AR3,AR4,AR5,AR6,AE1,AE2,AE3,AE4,AE5,AE6
'01001',9120,89891,8903,2052,1981,114,367,113,77,0,10,820,3233,0,65,0,0,71,61540,49054,77,0,617,36,0,0,0,2470,5769,3517,0,0,0,0,19448,0,8011,0,0,0,21,0,7595,1,0,958,0,1056,0,165,0,250,135,3,514,739,85245,79207,47263,47263,0,0,0,93,0,27338,4909,2348,1762,5181,6534,5339,1265,0,0,0,0,0,0,0,0,0,0,4606,4606,0,0,0,0,1313,862,0,451,0,3685,3476,0,17,192,0,0,0,0,74,966,46740,31099,3211,1305,778,3643,1636,2629,527,1876,19277,12007,1187,466,245,1375,785,1879,167,1158,0,61581,0,1812,59769,0,0,3883,3370,19549,345,298,0,0,0,174,818,182,620,0,10,0
'01003',32823,420695,32041,6749,6673,506,1149,481,766,0,136,8498,6750,0,0,0,0,333,185556,147887,194,0,1958,299,0,0,0,7436,15051,12731,0,0,0,0,203098,0,61563,0,0,0,135,0,117398,79,0,3706,0,4043,0,2430,1045,1713,1220,14,2944,6808,426165,349530,203256,203256,0,0,0,309,0,131242,22041,15536,5341,23423,40012,15397,9492,0,0,0,0,0,0,0,0,0,0,15032,15032,0,0,0,0,3971,2380,0,1591,0,64909,58437,190,384,5898,0,0,0,0,200,7555,195797,127556,13140,8612,2101,16893,9125,8958,3833,5311,74956,47484,4609,2923,583,6033,4386,4157,1325,3367,0,463424,1809,24816,440418,0,0,32372,51739,109693,3893,363,0,0,0,3982,8239,5478,2586,0,5383,0
'01005',6403,56891,6962,2249,1356,106,193,87,112,0,7,818,1942,0,25,0,0,67,40744,34038,136,0,402,44,0,0,0,1732,1430,2962,0,0,0,0,9185,0,4423,0,0,0,10,0,3031,73,0,217,0,440,0,55,0,134,153,1,83,565,56174,37617,21209,21209,0,0,0,24,0,14421,2228,1146,1817,2833,3528,1440,1429,0,0,0,0,0,0,0,0,0,0,1987,1987,0,0,0,0,15375,810,0,14565,0,2822,2514,1,0,307,0,0,0,0,49,311,21564,13361,1383,560,990,2023,731,772,680,709,8596,5286,502,191,292,744,390,391,230,448,0,12838,0,387,12451,0,0,365,1855,12523,258,0,0,0,0,120,378,230,105,0,137,0
'01007',3243,37214,4996,1184,893,60,153,61,266,0,0,1422,957,0,0,0,0,0,24966,19341,74,0,369,12,0,0,0,938,2258,1974,0,0,0,0,7252,0,1625,0,0,0,7,0,3127,0,0,421,0,914,0,59,1,209,71,1,116,701,37376,33316,18322,18322,0,0,0,227,0,12790,2356,1526,1207,2213,2608,2009,871,0,0,0,0,0,0,0,0,0,0,2204,2204,0,0,0,0,666,330,0,336,0,2861,649,0,93,2119,0,0,0,0,42,491,18590,11318,1174,896,665,1599,503,1054,365,877,7437,4301,458,294,191,593,265,686,138,487,0,15818,14077,419,29477,0,0,2158,12006,4860,692,28,0,0,0,609,1328,947,376,0,657,0
'01009',9141,94926,8514,2134,1983,122,297,149,0,0,58,1098,2673,0,0,0,0,0,66194,53094,159,0,800,105,0,0,0,2654,5295,4087,0,0,0,0,20218,0,5097,0,0,0,16,3,8315,0,0,1167,0,2619,0,413,0,201,363,3,570,1451,99358,83837,49399,49399,0,0,0,0,0,30188,5021,4844,2059,5446,7064,5021,733,0,0,0,0,0,0,0,0,0,0,4250,4250,0,0,0,0,2218,801,120,1297,0,12047,11700,57,43,247,0,0,0,0,199,1057,48775,32316,2785,2310,1390,3800,1425,2514,380,1599,19628,12363,988,814,420,1427,687,1695,138,972,0,29805,8005,6500,31310,0,0,5761,2992,21676,379,0,0,0,0,674,1038,349,689,0,216,0
'01011',1459,16488,2782,1054,424,41,117,76,0,0,17,206,787,0,0,0,0,60,11006,8371,62,0,140,47,0,0,0,396,950,1040,0,0,0,0,2700,0,1633,0,0,0,12,0,582,0,0,66,0,182,0,9,3,5,42,0,3,163,18122,15132,8058,8058,0,0,0,3,0,6031,845,919,952,922,1021,968,404,0,0,0,0,0,0,0,0,0,0,1043,1043,0,0,0,0,147,83,0,64,0,2639,2629,0,0,10,0,0,0,0,5,199,8385,4999,395,455,582,673,169,486,233,381,3292,1894,152,157,178,239,72,310,70,217,0,5859,0,247,5611,0,0,807,54,2551,138,0,0,0,0,0,138,99,38,0,99,0
'01013',2952,33275,5472,1503,974,64,145,72,46,0,0,1272,1336,0,0,0,0,60,20871,15927,65,0,329,2,0,0,0,768,1849,1931,0,0,0,0,6932,0,2953,0,0,0,9,4,2480,0,0,294,0,546,0,22,0,114,10,2,149,349,30759,28333,16347,16347,0,0,0,99,0,10512,2277,1043,1378,1615,2048,1591,560,0,0,0,0,0,0,0,0,0,0,1474,1474,0,0,0,0,836,582,0,254,0,403,285,0,7,111,0,0,0,0,65,1122,16418,10318,1344,556,768,1172,519,788,251,530,6470,3784,601,200,230,398,267,513,101,314,0,22084,0,1293,20791,0,0,0,905,2985,233,102,0,0,0,677,1012,672,289,0,521,0
'01015',17402,199960,22223,5518,4370,314,727,426,178,0,26,3698,6304,0,28,0,0,634,120967,95444,341,32,1355,88,0,0,0,4774,9424,9509,0,0,0,0,56770,0,22060,0,0,0,62,103,25206,174,0,1741,3,3147,0,764,110,743,414,9,321,1913,192904,176412,103277,103277,0,0,0,27,0,64140,12416,6072,5228,11658,16400,9429,2937,0,0,0,0,0,0,0,0,0,0,8995,8995,0,0,0,0,2870,2055,0,815,0,8063,5266,34,43,2720,0,0,0,0,120,5439,101493,66980,6747,3529,2819,8139,4220,3715,1528,3038,40954,25854,2528,1304,839,2953,1977,2560,545,2035,0,100751,48825,29549,120027,0,0,4992,33705,41378,1195,156,0,0,0,2315,3637,2489,1120,0,1111,0
'01017',4432,49961,6681,1843,1116,84,217,149,0,0,0,784,2433,0,0,0,0,55,31467,24413,137,0,537,22,0,0,0,1160,2827,2371,0,0,0,0,11813,0,6052,0,0,0,15,8,3699,0,0,260,0,730,0,98,0,75,92,6,168,610,45759,44564,24899,24899,0,0,0,62,0,16199,3002,1820,1453,2823,3311,2571,1219,0,0,0,0,0,0,0,0,0,0,3466,3466,0,0,0,0,455,144,0,311,0,297,146,0,137,14,0,0,0,0,40,403,25789,16205,1648,1158,849,1987,744,1346,626,1173,10506,6373,603,422,251,724,402,811,226,683,0,19428,6049,6564,18914,0,0,226,1251,8384,414,0,0,0,0,272,687,324,304,0,113,0
'01019',3897,46464,5447,1114,1023,56,53,74,54,0,0,781,2292,0,0,0,0,0,28147,22000,80,0,386,4,0,0,0,1060,2630,1987,0,0,0,0,12870,0,6753,0,0,0,5,0,3348,0,0,513,0,1106,0,153,7,76,199,2,130,578,51581,41417,23986,23986,0,0,0,0,0,14895,3525,1238,1214,2603,3214,2371,730,0,0,0,0,0,0,0,0,0,0,2536,2536,0,0,0,0,1185,816,0,369,0,7694,6905,0,256,533,0,0,0,0,39,1246,23851,15111,2138,735,563,1850,640,1308,365,832,9417,5696,783,245,175,679,293,801,120,478,0,35742,15,1456,34300,0,0,1005,3097,12993,212,0,0,0,0,440,652,469,183,0,295,0
